,Institute Id,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank,Field
79,IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",71.70,21.52,58.20,69.39,17.21,Guntur,Andhra Pradesh,48.27,80,Engineering
80,IR-E-U-0284,Maulana Azad National Institute of Technology,54.74,36.36,73.26,52.93,9.92,Bhopal,Madhya Pradesh,48.26,81,Engineering
81,IR-E-U-0207,"National Institute of Technology, Jamshedpur",59.72,28.90,75.79,58.58,6.35,Jamshedpur,Jharkhand,48.25,82,Engineering
82,IR-E-U-0619,National Institute of Technology Meghalaya,66.48,30.77,62.31,58.46,7.27,Shillong,Meghalaya,48.21,83,Engineering
83,IR-E-U-0223,"Jain university,Bangalore",68.49,40.87,42.99,62.18,3.79,Bengaluru,Karnataka,48.01,84,Engineering
84,IR-E-U-0172,National Institute of Technology Kurukshetra,53.75,37.48,66.64,55.43,17.45,Kurukshetra,Haryana,47.98,85,Engineering
85,IR-E-U-0092,"National Institute of Technology, Raipur",54.86,39.87,66.26,54.45,4.77,Raipur,Chhattisgarh,47.59,86,Engineering
86,IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,66.71,35.76,46.01,67.33,7.57,Chennai,Tamil Nadu,47.43,87,Engineering
87,IR-E-C-24004,AU College of Engineering (A),76.16,13.15,61.81,78.27,3.79,Visakhapatnam,Andhra Pradesh,47.37,88,Engineering
88,IR-E-U-0373,Chitkara  University,50.97,49.46,51.93,62.79,5.41,Rajpura,Punjab,47.34,89,Engineering
89,IR-E-U-1257,COEP Technological University,61.16,24.82,67.69,50.90,28.82,Pune,Maharashtra,47.31,90,Engineering
90,IR-E-C-19754,SR University,73.64,21.78,55.79,64.97,8.76,Warangal,Telangana,47.16,91,Engineering
91,IR-E-U-0297,Defence Institute of Advanced Technology,68.70,36.01,52.12,47.02,4.45,Pune,Maharashtra,46.98,92,Engineering
92,IR-E-U-0078,Panjab University,47.57,44.46,56.80,63.47,15.75,Chandigarh,Chandigarh,46.90,93,Engineering
93,IR-E-U-0017,Jawaharlal Nehru Technological University,75.17,22.40,49.61,67.59,7.87,Hyderabad,Telangana,46.74,94,Engineering
94,IR-E-C-30045,"C.V. Raman Global University, Odisha",77.56,10.31,59.54,71.59,11.86,Bhubaneswar,Odisha,46.62,95,Engineering
95,IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,60.53,19.76,77.19,58.72,8.47,Gwalior,Madhya Pradesh,46.25,96,Engineering
96,IR-E-U-0189,National Institute of Technology Hamirpur,55.31,32.51,65.33,57.57,9.34,Hamirpur,Himachal Pradesh,46.10,97,Engineering
97,IR-E-U-0147,Pandit Deendayal Energy University,61.15,38.82,58.40,38.87,4.12,Gandhinagar,Gujarat,45.97,98,Engineering
98,IR-E-U-0621,National Institute of Technology Puducherry,60.59,25.67,61.86,63.73,12.13,Karaikal,Pondicherry,45.83,99,Engineering
99,IR-E-C-36995,Sri Krishna College of Engineering and Technology,68.47,22.35,63.40,49.25,6.97,Coimbatore,Tamil Nadu,45.55,100,Engineering
